id,image,book,author
2,2021_10_02.jpg,99個在家玩的科學實驗,"菲立普‧內斯曼, 夏琳‧潔頓"
3,2021_10_03.jpg,玩出創意3：77個奇趣科學玩具,許良榮
4,2021_10_04.jpg,玩出創意：120個創新科學遊戲,許良榮
5,2021_10_05.jpg,玩出創意2：48個酷炫科學魔術,許良榮
6,2021_10_06.jpg,科學玩很大,米村傳治郎
7,2021_10_07.jpg,科學動動手,尼克‧阿諾德
8,2021_10_08.jpg,Time for Kids Super Science Book,"Sandvold, Lynnette Brent"
9,2021_10_09.jpg,科學史上最有梗的20堂化學課（上/下）：40部線上影片讓你秒懂化學,"姚荏富, 胡妙芬, LIS科學教材研發團隊"
10,2021_10_10.jpg,第一次做手工皂,"Elizabeth Letcavage, Patsy Buck"
11,2021_10_11.jpg,精油美膚沐浴書,佐佐木薰
13,2021_10_13.jpg,純淨天然的手工香皂DIY,小(土反)由貴子
14,2021_10_14.jpg,娜娜媽教你做超滋養天然修護手工皂,娜娜媽
15,2021_10_15.jpg,娜娜媽×Aroma手工皂精油調香研究室,"娜娜媽, Aroma"
16,2021_10_16.jpg,親膚手工皂基礎實作講義,梅原亞也子
